ReadID	maxG1	maxG2	genome	chr_G1	pos_G1	chrG2	posG2	group
SRR6485325.29478	0	none	H1_	H1_chr5	7686	none	0	UGM
SRR6485325.75376	0	none	H1_	H1_chr5	21338	none	0	UGM
SRR6485325.83041	-5	none	H1_	H1_chr5	29274	none	0	UGM
SRR6485325.204064	0	0	undetermined	H1_chr5	58636	H2_chr5	1445419	ES
SRR6485325.225539	0	0	undetermined	H1_chr5	99650	H2_chr5	21202	PEES
SRR6485325.120116	0	0	undetermined	H1_chr5	135510	H2_chr5	57063	PEES
SRR6485325.36260	0	0	undetermined	H1_chr5	145444	H2_chr5	66980	PEES
SRR6485325.32575	-15	-15	undetermined	H1_chr5	167758	H2_chr5	89277	PEES
SRR6485325.237826	0	0	undetermined	H1_chr5	311409	H2_chr5	234564	PEES
SRR6485325.63174	0	none	H1_	H1_chr5	330437	none	0	UGM
SRR6485325.161689	0	none	H1_	H1_chr5	336461	none	0	UGM
SRR6485325.161400	0	none	H1_	H1_chr5	370835	none	0	UGM
SRR6485325.12518	0	none	H1_	H1_chr5	628355	none	0	UGM
SRR6485325.243546	0	0	undetermined	H1_chr5	730314	H2_chr5	2001289	ES
SRR6485325.69832	-3	-3	undetermined	H1_chr5	736480	H2_chr5	657732	PEES
SRR6485325.54478	0	0	undetermined	H1_chr5	745315	H2_chr5	666989	PEES
SRR6485325.123067	-3	none	H1_	H1_chr5	861608	none	0	UGM
SRR6485325.134434	0	0	undetermined	H1_chr5	877822	H2_chr5	800693	PEES
SRR6485325.142546	-5	-5	undetermined	H1_chr5	947370	H2_chr5	866990	PEES
SRR6485325.93164	0	0	undetermined	H1_chr5	974446	H2_chr5	894264	PEES
SRR6485325.43543	0	0	undetermined	H1_chr5	997279	H2_chr5	917321	PEES
SRR6485325.194420	0	0	undetermined	H1_chr5	1332805	H2_chr5	1251236	PEES
SRR6485325.44182	-8	none	H1_	H1_chr5	1371899	none	0	UGM
SRR6485325.157727	0	0	undetermined	H1_chr5	1382307	H2_chr5	1299540	PEES
SRR6485325.98010	-5	-5	undetermined	H1_chr5	1388252	H2_chr5	1305497	PEES
SRR6485325.23308	-5	-5	undetermined	H1_chr5	1428354	H2_chr5	1352063	PEES
SRR6485325.151061	-20	none	H1_	H1_chr5	1448589	none	0	UGM
